candidate_id,skills,qualification,experience_level,job_role
1,"Deep Learning, TensorFlow, Machine Learning, Statistics, Python, Reinforcement Learning, Computer Vision, Research",PhD in Artificial Intelligence,Mid,AIML
2,"Conflict Resolution, Training, Recruitment, HR Policies",Master's in Human Resources,Senior,HR
3,"Java, Hibernate, SQL, REST APIs",Bachelor's in Software Engineering,Senior,Backend Developer
4,"Network Security, Ethical Hacking, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer
5,"Java, Spring, SQL, REST APIs, Problem Solving",Bachelor's in Software Engineering,Senior,Backend Developer
6,"Digital Marketing, Google Analytics, SEO, PPC",Bachelor's in Marketing,Mid,Marketing
7,"Financial Modeling, Valuation, Excel, Leadership",Master's in Finance,Mid,Finance
8,"Solidity, Ethereum, Web3, Blockchain",Bachelor's in Computer Science,Senior,Blockchain Developer
9,"Content Creation, Analytics, Excel, Marketing Strategy",Bachelor's in Marketing,Mid,Marketing
10,"Python, Pandas, SQL, Tableau",Master's in Data Science,Entry,Data Analyst
11,"Maven, Hibernate, JavaScript, Java",Master's in Software Engineering,Mid,Full Stack Java Developer
12,"Kubernetes, Helm, AWS, Docker",Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer
13,"HTML, CSS, JavaScript, Vue.js",Bachelor's in Information Technology,Mid,Web Developer
14,"Figma, Adobe XD, Communication, UI/UX Design, Creativity, Sketch",Bachelor's in Graphic Design,Mid,Designer
15,"Excel, SQL, Power BI",Bachelor's in Data Science,Senior,Data Analyst
16,"PHP, MySQL, Symfony",Bachelor's in Information Technology,Entry,PHP Developer
17,"CSS, Sass, HTML, Angular, JavaScript",Bachelor's in Computer Science,Entry,Frontend Developer
18,"Digital Marketing, SEO, PPC, Analytics",Bachelor's in Marketing,Mid,Marketing
19,"C#, Git, Azure, REST APIs, Blazor, SQL, .NET",Bachelor's in Computer Science,Senior,C# Developer
20,"JavaScript, Java, Maven, SQL, Angular",Master's in Software Engineering,Mid,Full Stack Java Developer
21,"WordPress, Git, CSS, JavaScript, Express, HTML, Vue.js, REST APIs",Bachelor's in Computer Science,Entry,Web Developer
22,"Communication, Stakeholder Management, Agile, Budgeting, Analytics, Leadership, Risk Management, Project Management",Bachelor's in Computer Science,Senior,Software Project Manager
23,"AWS, Git, Docker, Istio, Kubernetes, CI/CD",Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer
24,"Python, Flask, JavaScript, SQL",Bachelor's in Computer Science,Entry,Full Stack Python Developer
25,"Kubernetes, Docker, Terraform, CI/CD",Bachelor's in Computer Science,Mid,DevOps Engineer
26,"PyTorch, Computer Vision, Reinforcement Learning, Python, Deep Learning",Master's in Computer Science,Mid,AIML
27,"Python, TensorFlow, NLP, Deep Learning",PhD in Artificial Intelligence,Senior,AIML
28,"Valuation, Analytics, Communication, Financial Modeling, Forecasting, Excel, Budgeting",Master's in Finance,Mid,Finance
29,"Git, Solidity, Blockchain, Rust",Bachelor's in Computer Science,Mid,Blockchain Developer
30,"REST APIs, Java, Microservices, SQL, Spring",Bachelor's in Computer Science,Senior,Backend Developer
31,"Conflict Resolution, Employee Relations, Recruitment, Training, HR Policies",Bachelor's in Human Resources,Mid,HR
32,"HTML, JavaScript, PHP, MongoDB, CSS",Bachelor's in Computer Science,Mid,Web Developer
33,"C#, .NET Core, Azure, SQL Server",Bachelor's in Computer Science,Mid,C# Developer
34,"JavaScript, Agile, Git, REST APIs, Python",Master's in Computer Science,Entry,Full Stack Python Developer
35,"Java, SQL, Docker, Hibernate, Git, Spring",Bachelor's in Computer Science,Mid,Backend Developer
36,"Figma, Sketch, UI/UX, Wireframing",Bachelor's in Design,Entry,Designer
37,"PHP, Symfony, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer
38,"Scrum, Agile, Project Management",Master's in Business Administration,Mid,Software Project Manager
39,"Figma, Sketch, UI/UX, Wireframing",Bachelor's in Design,Entry,Designer
40,"SQL, R, Data Visualization, Statistics",Bachelor's in Statistics,Entry,Data Analyst
41,"Java, AWS, Maven, JavaScript",Bachelor's in Software Engineering,Mid,Full Stack Java Developer
42,"PostgreSQL, Django, JavaScript, Python",Bachelor's in Computer Science,Entry,Full Stack Python Developer
43,"Penetration Testing, Linux, Firewalls, Ethical Hacking, Communication, Network Security",Master's in Cybersecurity,Mid,Cybersecurity Engineer
44,"Kubernetes, Helm, AWS, Docker",Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer
45,"Kubernetes, Helm, AWS, Docker",Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer
46,"3D Modeling, Teamwork, Game Design, Game Physics, C++",Bachelor's in Game Development,Mid,Game Developer
47,"Unity, Storytelling, Game Design, Balancing, C#",Bachelor's in Design,Entry,Video Game Designer
48,"Kubernetes, Docker, GCP, CI/CD",Bachelor's in Computer Science,Mid,Kubernetes Operations Engineer
49,"React, TypeScript, HTML, CSS",Bachelor's in Computer Science,Entry,Frontend Developer
50,"Redux, JavaScript, HTML, React, CSS",Bachelor's in Computer Science,Mid,Frontend Developer
51,"Java, Spring, React, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer
52,"Balancing, Game Design, Storytelling",Bachelor's in Game Development,Entry,Video Game Designer
53,"Azure, SQL Server, C#, REST APIs, .NET Core, .NET",Bachelor's in Computer Science,Mid,C# Developer
54,"C++, Unity, Game Design, VR",Bachelor's in Game Development,Mid,Game Developer
55,"C++, Unity, Game Physics, VR Development",Bachelor's in Game Development,Mid,Game Developer
56,"Communication, Figma, Prototyping, Adobe XD, UI/UX Design",Bachelor's in Graphic Design,Entry,Designer
57,"MySQL, REST APIs, WordPress, JavaScript, Symfony, PHP, CodeIgniter",Bachelor's in Information Technology,Entry,PHP Developer
58,"R, Machine Learning, Python, Keras",Master's in Data Science,Mid,Data Scientist
59,"Wireframing, UI/UX Design, Figma",Bachelor's in Design,Mid,Designer
60,"Communication, Agile, Leadership, Project Management, Scrum",Bachelor's in Computer Science,Senior,Software Project Manager
61,"Digital Marketing, SEO, PPC, Analytics",Bachelor's in Marketing,Mid,Marketing
62,"C++, Unity, Game Design, VR",Bachelor's in Game Development,Mid,Game Developer
63,"Docker, Helm, Linux, Terraform, Prometheus, Kubernetes, AWS",Bachelor's in Computer Science,Mid,Kubernetes Operations Engineer
64,"Training, Onboarding, Employee Relations, Recruitment, HR Policies",Bachelor's in Human Resources,Mid,HR
65,"Figma, Sketch, UI/UX, Wireframing",Bachelor's in Design,Entry,Designer
66,"Agile, JavaScript, React, Python, Celery, Django, REST APIs",Master's in Computer Science,Entry,Full Stack Python Developer
67,"Ethical Hacking, Network Security, Risk Assessment, Linux, Communication",Bachelor's in Cybersecurity,Senior,Cybersecurity Engineer
68,"Scikit-learn, Communication, Python, SQL, Machine Learning",PhD in Data Science,Entry,Data Scientist
69,"Java, Spring, React, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer
70,"Django, Flask, JavaScript, Python, Agile",Master's in Computer Science,Entry,Full Stack Python Developer
71,"CI/CD, Jenkins, Docker, Git, Linux, Ansible",Bachelor's in Computer Science,Mid,DevOps Engineer
72,"AWS, Terraform, Jenkins, Linux",Bachelor's in Computer Science,Senior,DevOps Engineer
73,"MySQL, Laravel, PHP, CodeIgniter, REST APIs, Symfony",Bachelor's in Information Technology,Entry,PHP Developer
74,"PHP, Symfony, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer
75,"3D Modeling, Storytelling, Unity, Game Design, Player Psychology",Bachelor's in Game Development,Entry,Video Game Designer
76,"Swift, iOS, Xcode, UI/UX",Bachelor's in Computer Science,Entry,Mobile Developer
77,"R, Python, Machine Learning",Bachelor's in Computer Science,Mid,Data Scientist
78,"Figma, Sketch, UI/UX, Wireframing",Bachelor's in Design,Entry,Designer
79,"Docker, CI/CD, Jenkins, Ansible",Bachelor's in Computer Science,Senior,DevOps Engineer
80,"SQL, Spring, Java, Problem Solving, Hibernate",Bachelor's in Software Engineering,Mid,Backend Developer
